,ps,note_start,note_end,velocity
223,76,281.621621621622,281.891891891892,70
226,74,282.162162162162,282.702702702703,70
237,69,282.162162162162,282.432432432432,72
225,62,282.162162162162,282.702702702703,70
227,76,282.702702702703,282.972972972973,68
228,78,282.972972972973,283.243243243243,64
238,76,283.175675675676,283.445945945946,76
229,78,283.378378378378,283.581081081081,72
232,81,283.581081081081,284.121621621622,69
231,76,283.581081081081,284.121621621622,69
230,38,283.581081081081,284.121621621622,69
240,78,284.054054054054,284.594594594595,66
239,45,284.054054054054,284.594594594595,66
241,74,284.054054054054,284.594594594595,66
235,81,284.594594594595,284.797297297297,69
234,54,284.594594594595,284.797297297297,69
233,76,284.594594594595,284.797297297297,69
242,50,285.000000000000,285.608108108108,68
243,83,285.000000000000,285.608108108108,68
236,78,285.000000000000,285.202702702703,82
244,78,285.608108108108,286.013513513514,73
245,59,285.608108108108,286.013513513514,73
256,73,285.608108108108,285.810810810811,67
246,66,286.013513513514,286.283783783784,77
247,83,286.013513513514,286.283783783784,77
248,74,286.013513513514,286.283783783784,77
257,79,286.486486486487,286.756756756757,73
249,40,286.486486486487,286.756756756757,76
250,83,286.486486486487,286.756756756757,76
258,79,287.027027027027,287.229729729730,76
259,71,287.027027027027,287.229729729730,76
251,47,287.027027027027,287.432432432432,76
252,57,287.432432432432,287.837837837838,78
260,69,287.432432432432,287.635135135135,78
261,78,287.432432432432,287.635135135135,78
253,67,288.040540540541,288.243243243243,78
254,76,288.040540540541,288.243243243243,78
262,62,288.040540540541,288.648648648649,73
255,79,288.445945945946,288.716216216216,79
263,81,288.648648648649,288.918918918919,75
264,83,288.918918918919,289.189189189189,81
265,85,289.189189189189,289.459459459459,74
267,78,289.459459459459,289.662162162162,74
268,43,289.459459459459,289.662162162162,74
266,86,289.459459459459,289.662162162162,74
269,50,289.662162162162,289.932432432432,71
277,57,289.864864864865,290.067567567568,77
278,74,289.864864864865,290.067567567568,77
279,83,289.864864864865,290.067567567568,77
270,59,290.270270270270,290.540540540541,64
280,81,290.472972972973,290.743243243243,69
281,61,290.472972972973,290.743243243243,69
282,73,290.472972972973,290.743243243243,69
271,62,290.810810810811,291.081081081081,73
272,48,291.081081081081,291.351351351351,76
273,55,291.081081081081,291.351351351351,76
283,79,291.081081081081,291.351351351351,72
284,71,291.081081081081,291.351351351351,72
274,64,291.351351351351,291.621621621622,64
276,78,291.689189189189,291.959459459459,66
275,69,291.689189189189,291.959459459459,66
286,67,292.162162162162,292.432432432432,70
285,76,292.162162162162,292.432432432432,70
287,50,292.702702702703,292.905405405405,75
288,78,292.702702702703,292.905405405405,75
289,69,292.702702702703,292.905405405405,75
290,57,292.905405405405,293.175675675676,62
300,74,293.108108108108,293.310810810811,72
301,62,293.108108108108,293.310810810811,72
302,66,293.108108108108,293.310810810811,72
291,61,293.716216216216,293.918918918919,71
292,54,293.716216216216,293.918918918919,71
293,46,293.716216216216,293.918918918919,71
294,68,293.716216216216,293.918918918919,71
295,66,293.716216216216,293.918918918919,71
296,73,293.716216216216,293.918918918919,71
297,47,294.324324324324,294.527027027027,70
298,54,294.729729729730,294.932432432432,61
299,62,294.932432432432,295.945945945946,62
303,64,295.135135135135,295.337837837838,68
304,66,295.135135135135,295.337837837838,68
305,69,295.540540540541,296.351351351351,68
306,74,295.743243243243,296.283783783784,68
